bandingan   bandingkan
penyerataan pemerataan
mahsiswa    mahasiswa
disamaratakan   meratakan
mewajarkannya   wajar
dismpaikan      disampaikan
gehehe          tertawa
respon          respons
pmbyaran        pembayaran
krn             karena
pam             pemrograman
space           ruang
meresume        meresumkan
moodnya         suasana hatinya
seimbangnya     berimbangnya
sesamasering    sesama sering
tnggung         tanggung
gradle          aplikasi
kgiatan         kegiatan
kdisplinan      kedisiplinan
disebagian      sebagian
diproyektor     di proyektor
lecturer        pengajar
research        penelitian
komputerkecerdasan komputer kecerdasan
smester            semester
diruang            di ruang
materidosennya     materi dosennya
admisnistrasi      administrasi
perpustakaankamar perpustakaan kamar
terlalau          terlalu
cisco             aplikasi
responnya         responsnya
untk              untuk
smk               sekolah menengah kejuruan
ebook             buku elektronik
prasananya        prasarananya
spidolpenghapus   spidol penghapus
ditaman           di taman
diparkir          di parkir
memadahi          memadai
direspon          direspons
laptopbagi        laptop bagi
fikir             pikir
berkali           berkali kali
berac             berak
disampaikanterimakasih  disampaikan terimakasih
keramiknya              keramiknya
bgi                     bagi
labkom                  laboratorium komputer
dri                     dari
mahasiwa                mahasiswa
dprbnyak                diperbanyak
dll                     dan lain lain
memberitahu             memberi tahu
letakan                 letakkan
sayacara                saya cara
respect                 menghormati
gpp                     tidak masalah
but                     tapi
jwb                     jawab
ktm                     kartu tanda mahasiswa
public                  publik
kapabilitas             kemampuan
lngsung                 langsung
penyampaianny           penyampaiannya
prasana                 prasarana
tdk                     tidak
code                    kode
bnyk                    banyak
gradlenya               aplikasinnya
kusi                    kursi
atep                    atap
dfasilitasi             difasilitasi
og                      pesuruh kantor
labtek                  laboratorium teknik
mengarapkan             mengharapkan
tahuntahun              tahun tahun
akademika               akademik
krs                     kartu studi mahasiswa
disini                  di sini
hardware                perangkat keras
msh                     masih
wc                      toilet
diperpustempat          diperpustakaan tempat
bangung                 bangun
perkuliah               perkuliahan
komp                    praktikum
bhkan                   bahkan
baagus                  bagus
ged                     gedung
menginput               memasukan
environmentnya          lingkungannya
staff                   staf
mbd                     manajemen basis data
bljr                    belajar
acces                   akses
buangbuang              buang buang
dikelas                 di kelas
ghostclick              tidak berfungsi secara benar
mengembung              menggelembung
disitu                  di situ
coworking               rekan kerja
point                   titik
alhamdulilah            alhamdulillah
rules                   aturan
pndkungnya              pendukungnya
milih                   pilih
club                    kelompok
langitlangit            langit langit
down                    turun
dimengertilbih          dimengerti lebih
dikampus                di kampus
kls                     kelas
perumpamaanperumpamaan  perumpamaan perumpamaan
itupun                  itu pun
dgabung                 digabung
trladang                terkadang
mengoding               memprogram
jd                      jadi
error                   eror
ps                      program studi
soalny                  soalnya
berlebihkepenuhan       berlebih kepenuhan
ksibkan                 kesibukan
gak                     tidak
blueescreen             layar biru
prkuliahan              perkuliahan
